176.0500 -19.3300 03-Jan-2017
-72.0100 -29.5100 11-Nov-2015
127.8700 -7.5100 21-Dec-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
-17.8300 -0.0500 29-Aug-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
-178.2400 -19.7800 24-Sep-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
-178.2400 -19.7800 24-Sep-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
179.0800 -24.6400 04-May-2014
-178.4000 -19.8000 21-Jul-2014
-73.5700 -14.6000 24-Aug-2014
-110.8100 -32.1100 09-Oct-2014
-177.7600 -19.6900 01-Nov-2014
127.0600 2.3000 21-Nov-2014
167.3000 -14.8600 20-Oct-2015
-17.8300 -0.0500 29-Aug-2016
-178.2400 -19.7800 24-Sep-2016
-132.1600 -54.3300 19-May-2015
-72.0100 -29.5100 11-Nov-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
-73.0900 -36.3800 23-Jan-2012
127.8700 -7.5100 21-Dec-2016
122.4300 -7.2900 23-Aug-2016
25.1600 -22.6800 03-Apr-2017
173.1200 -22.4800 12-Aug-2016
127.8700 -7.5100 21-Dec-2016
-176.3900 -28.0300 13-Jul-2016
127.9200 -7.5100 21-Dec-2016
167.3800 -14.5900 09-May-2017
108.1600 -4.8600 19-Oct-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
-178.2400 -19.7800 24-Sep-2016
173.0800 -42.7600 13-Nov-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
-178.2400 -19.7800 24-Sep-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
-17.8300 -0.0500 29-Aug-2016
108.1600 -4.8600 19-Oct-2016
96.1100 5.2800 06-Dec-2016
161.1100 -10.7300 09-Dec-2016
127.8700 -7.5100 21-Dec-2016
-73.8800 -43.4200 25-Dec-2016
-70.5600 -20.2700 03-Apr-2014
-110.8100 -32.1100 09-Oct-2014
179.6600 -37.6500 16-Nov-2014
-72.0600 -29.5100 11-Nov-2015
-70.9000 -10.5500 24-Nov-2015
127.8700 -7.5100 21-Dec-2016
108.1600 -4.8600 19-Oct-2016
127.8700 -7.5100 21-Dec-2016
173.1200 -22.4800 12-Aug-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
-73.8800 -43.4200 25-Dec-2016
173.1200 -22.4800 12-Aug-2016
96.1100 5.2800 06-Dec-2016
176.0500 -19.3300 03-Jan-2017
-178.8000 -23.2600 24-Feb-2017
-178.2400 -19.7800 24-Sep-2016
173.0800 -42.7600 13-Nov-2016
96.1100 5.2800 06-Dec-2016
108.1600 -4.8600 19-Oct-2016
96.1100 5.2800 06-Dec-2016
127.8700 -7.5100 21-Dec-2016
-132.1600 -54.3300 19-May-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
-71.0200 -10.0500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
122.5400 -7.3000 27-Feb-2015
-132.1600 -54.3300 19-May-2015
-71.3800 -31.7300 21-Sep-2015
-71.0200 -10.0500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
-71.6700 -31.5700 16-Sep-2015
-70.9000 -10.5500 24-Nov-2015
-71.2600 -9.1800 26-Nov-2015
173.0800 -42.7600 13-Nov-2016
173.0800 -42.7600 13-Nov-2016
